"","last_name","first_name","player_id","team_id","team","position","age","competitive_runs","hp_to_1b","sprint_speed","display_team_name","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","Name","Team.x","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BB%.x","K%.x","ISO.x","BABIP.x","AVG.x","OBP.x","SLG.x","wOBA.x","xwOBA.x","wRC+.x","BsR.x","Off.x","Def.x","WAR.x","playerid.x","Team.y","G.y","PA.y","HR.y","R.y","RBI.y","SB.y","BB%.y","K%.y","ISO.y","BABIP.y","AVG.y","OBP.y","SLG.y","wOBA.y","xwOBA.y","wRC+.y","BsR.y","Off.y","Def.y","WAR.y","playerid.y"
"24","Rojas","Miguel",500743,146,"MIA","SS",32,207,4.56,26.6,"Marlins","SS",-2,-3,-6,2,1,0,-1,-2,"77%","78%","-1%",423,11.5,32.4,109.4,86.2,89,86.4,409,152,398,139,32.9,12,2.8,2.2,2021,539,423,0.265,0.249,0.016,0.392,0.345,0.047,0.311,0.292,0.019,"Miguel Rojas","MIA",132,539,9,66,48,13,6.9,13.7,0.127,0.295,0.265,0.322,0.392,0.311,0.292,97,1.5,-0.3,4.7,2.2,7802,"MIA",132,539,9,66,48,13,6.9,13.7,0.127,0.295,0.265,0.322,0.392,0.311,0.292,97,1.5,-0.3,4.7,2.2,7802
"25","Seager","Corey",608369,119,"LAD","SS",27,158,4.6,26.5,"Dodgers","SS",-4,-6,-5,0,-2,1,-4,-1,"74%","76%","-2%",290,10.7,36.6,115.3,91,97.3,85.7,464,172,404,143,49.3,36,12.4,8.8,2021,409,290,0.306,0.295,0.011,0.521,0.53,-0.009,0.389,0.392,-0.003,"Corey Seager","LAD",95,409,16,54,57,1,11.7,16.1,0.215,0.336,0.306,0.394,0.521,0.389,0.392,147,-1.9,22.4,0.4,3.7,13624,"LAD",95,409,16,54,57,1,11.7,16.1,0.215,0.336,0.306,0.394,0.521,0.389,0.392,147,-1.9,22.4,0.4,3.7,13624
"26","Simmons","Andrelton",592743,142,"MIN","SS",31,200,4.68,26.2,"Twins","SS",8,11,5,5,1,0,11,0,"80%","76%","4%",354,3.9,28.8,108.2,84.1,87.3,84,408,122,389,77,21.8,2,0.6,0.4,2021,451,354,0.223,0.23,-0.007,0.274,0.281,-0.007,0.252,0.261,-0.009,"Andrelton Simmons","MIN",131,451,3,37,31,1,7.1,13.7,0.051,0.256,0.223,0.283,0.274,0.252,0.261,56,-1.5,-25.6,18.4,0.8,10847,"MIN",131,451,3,37,31,1,7.1,13.7,0.051,0.256,0.223,0.283,0.274,0.252,0.261,56,-1.5,-25.6,18.4,0.8,10847
"27","Galvis","Freddy",520471,143,"PHI","SS",31,114,4.54,25.8,"---","SS",-2,-3,2,-3,-1,-2,1,-5,"71%","73%","-2%",284,14.1,34.9,109.3,86.8,90.9,84.3,416,165,383,90,31.7,14,4.9,3.6,2021,394,284,0.242,0.222,0.02,0.407,0.35,0.057,0.305,0.28,0.025,"Freddy Galvis","- - -",104,394,14,53,40,1,6.9,19.5,0.166,0.269,0.242,0.302,0.407,0.305,0.28,90,0.9,-4,1.1,1,6609,"- - -",104,394,14,53,40,1,6.9,19.5,0.166,0.269,0.242,0.302,0.407,0.305,0.28,90,0.9,-4,1.1,1,6609
"28","Crawford","Brandon",543063,137,"SF","SS",34,178,4.48,25.8,"Giants","SS",13,17,8,8,1,1,11,6,"74%","70%","4%",383,14.7,35.8,109.8,88.8,94.7,83.5,444,178,399,166,43.3,44,11.5,8,2021,549,383,0.298,0.259,0.039,0.522,0.492,0.03,0.377,0.356,0.021,"Brandon Crawford","SFG",138,549,24,79,90,11,10.2,19.1,0.224,0.334,0.298,0.373,0.522,0.377,0.356,139,0.4,27.8,17.2,6.3,5343,"SFG",138,549,24,79,90,11,10.2,19.1,0.224,0.334,0.298,0.373,0.522,0.377,0.356,139,0.4,27.8,17.2,6.3,5343
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jake Cronenworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SDP",152,643,21,94,71,4,8.6,14,0.194,0.283,0.266,0.34,0.46,0.341,0.348,116,2.1,15.3,3.7,4,18036
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Javier Baez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"- - -",138,547,31,80,87,18,5.1,33.6,0.229,0.352,0.265,0.319,0.494,0.344,0.325,116,3,14.1,6.8,3.9,12979
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wander Franco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TBR",70,308,7,53,39,2,7.8,12,0.174,0.311,0.288,0.347,0.463,0.348,0.329,126,3.1,13.1,0.2,2.4,23667
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luis Urias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIL",150,570,23,77,75,5,11.1,20.4,0.196,0.28,0.249,0.345,0.445,0.34,0.333,111,-0.7,7.3,-5.9,2,16622
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jazz Chisholm Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA",124,507,18,70,53,23,6.7,28.6,0.177,0.319,0.248,0.303,0.425,0.312,0.307,98,3.3,2.1,1.2,2,20454
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Josh Rojas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARI",139,550,11,69,44,9,10.5,24.9,0.147,0.345,0.264,0.341,0.411,0.327,0.299,102,4.6,5.9,-5.8,1.8,19734
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Edmundo Sosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",113,326,6,39,27,4,5.2,19.3,0.118,0.326,0.271,0.346,0.389,0.322,0.326,104,-1,0.8,6.6,1.8,17022
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jose Iglesias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"- - -",137,511,9,65,48,5,4.1,14.7,0.12,0.305,0.271,0.309,0.391,0.304,0.299,91,-0.2,-6.1,6.1,1.7,10231
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nico Hoerner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",44,170,0,13,16,5,10,14.7,0.067,0.36,0.302,0.382,0.369,0.33,0.32,104,-0.7,0.2,8.4,1.4,21479
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thairo Estrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",52,132,7,19,22,1,6.8,17.4,0.207,0.286,0.273,0.333,0.479,0.346,0.313,119,1.3,4.5,2.2,1.1,16426
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ramon Urias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",85,296,7,33,38,1,9.5,25.7,0.134,0.369,0.279,0.361,0.412,0.341,0.344,115,0.4,5.7,-5.1,1.1,18795
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adalberto Mondesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCR",35,136,6,19,17,15,4.4,31.6,0.222,0.299,0.23,0.271,0.452,0.306,0.318,91,2.5,1,3.8,0.9,13769
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sergio Alcantara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",89,255,5,30,17,3,11.8,29,0.123,0.28,0.205,0.303,0.327,0.279,0.275,71,0.7,-8.7,9.6,0.9,16417
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andres Gimenez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE",68,210,5,23,16,11,5.2,25.7,0.133,0.273,0.218,0.282,0.351,0.277,0.269,73,2.6,-4.2,4.7,0.8,19950
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Niko Goodrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",90,325,9,39,33,14,8.9,32.9,0.145,0.301,0.214,0.292,0.359,0.286,0.304,79,0.3,-8,3.4,0.6,12092
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ronald Torreyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",112,344,7,30,41,2,5.5,11.9,0.104,0.258,0.242,0.286,0.346,0.274,0.256,68,1.3,-12.7,7.5,0.6,11400
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tyler Wade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",103,145,0,31,5,17,11,25.5,0.055,0.378,0.268,0.354,0.323,0.304,0.254,92,2.8,1.5,-0.2,0.6,15730
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha-seong Kim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SDP",117,298,8,27,34,6,7.4,23.8,0.15,0.241,0.202,0.27,0.352,0.27,0.265,70,1.4,-9.9,4.7,0.5,27506
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taylor Walls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TBR",54,176,1,15,15,4,13.1,27.8,0.086,0.304,0.211,0.314,0.296,0.279,0.284,80,0,-4.3,2.1,0.4,22458
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jorge Mateo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"- - -",89,209,4,19,14,10,4.3,26.3,0.129,0.324,0.247,0.293,0.376,0.291,0.287,83,1.9,-2.8,-1.1,0.3,17273
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nick Maton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",52,131,2,16,14,2,7.6,29.8,0.128,0.364,0.256,0.323,0.385,0.309,0.281,91,1.6,0.1,-1.8,0.3,21635
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mauricio Dubon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",74,187,5,20,22,2,4.8,21.9,0.137,0.282,0.24,0.278,0.377,0.278,0.273,75,-1.5,-7.6,2.4,0.1,16530
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Danny Mendick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHW",71,186,2,14,20,0,9.7,22.6,0.067,0.281,0.22,0.303,0.287,0.268,0.26,68,0.9,-6.3,-1.3,-0.1,18889
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cole Tucker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",43,131,2,15,12,2,9.9,25.2,0.12,0.289,0.222,0.298,0.342,0.282,0.274,75,-0.7,-4.9,-3.3,-0.4,17326
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erik Gonzalez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",71,229,2,17,21,2,3.5,17.5,0.068,0.274,0.232,0.258,0.3,0.244,0.277,50,-1.9,-16.4,2.2,-0.7,13369
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harold Castro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",106,339,3,35,37,1,4.1,21.2,0.076,0.351,0.283,0.31,0.359,0.291,0.315,83,-0.5,-7.8,-10.3,-0.7,14691
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richie Martin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",37,105,1,9,8,0,3.8,26.7,0.051,0.314,0.235,0.269,0.286,0.246,0.238,51,-1.7,-8.1,-3.5,-0.8,17736
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luis Rengifo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAA",54,190,6,22,18,1,4.7,20,0.109,0.22,0.201,0.246,0.31,0.244,0.293,50,1.1,-10.5,-5.4,-0.9,19858
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robel Garcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU",47,117,1,8,8,0,6.8,35.9,0.057,0.234,0.151,0.216,0.208,0.194,0.224,20,-0.4,-11.8,-1.5,-0.9,13167
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zack Short",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",61,184,6,21,20,2,12,32.1,0.141,0.165,0.141,0.239,0.282,0.23,0.242,41,0.1,-13.1,-3.5,-1,19562
